article_nr,title,description,brand,kba,part_state,quantity,vat,price,price_b2b,img_1,img_2,img_3,img_4,img_5,img_6
TODO,"AUDI A6 4F 05-11, LYGTEVISKERMOTOR",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/079/0/136594,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/079/0/125475,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/079/0/87767,,,
TODO,"AUDI A6 4F 05-11, RAT  TIL AIRBAG",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/1/136603,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/1/125484,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/1/91303,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/2/136604,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/2/125485,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/080/2/91304,,,
TODO,"AUDI A6 4F 05-11, INSTRUKTIONSBOG",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,200,200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/587/3/138462,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/587/3/91618,,,,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/594/6/138472,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/594/6/92429,,,,
TODO,"AUDI A6 4F 05-11, ABS PUMPE","4F0614517T01
",AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,1500,1500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/595/4/156517,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/595/4/138474,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/595/4/91696,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/595/4/91628,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/3/138475,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/3/91629,,,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/5/156518,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/5/138476,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/5/92646,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/596/5/92628,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/597/1/156521,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/597/1/138479,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/597/1/106132,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/597/1/106129,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/599/6/138488,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/599/6/91634,,,,
